#name,region,country,lat,lon,location_type,conflict_date,population,
Juba,Central_Equatoria,South_Sudan,4.86086,31.61782,conflict_zone,0,368436,
Mongalla,Central_Equatoria,South_Sudan,5.14619,34.46927,conflict_zone,20,51323,
Mayom,Unity,South_Sudan,9.22,29.17,conflict_zone,24,120715,
Bor,Jonglei,South_Sudan,6.21437,31.56201,conflict_zone,44,61716,
Yirol,Lakes,South_Sudan,6.55454,30.49994,conflict_zone,48,12707,
Kapoeta,Eastern_Equatoria,South_Sudan,4.7762,33.58286,conflict_zone,57,91160,
Cueibet,Lakes,South_Sudan,7.03167,29.24717,conflict_zone,88,117755,
Duk_Fadiat,Jonglei,South_Sudan,7.75078,31.40871,conflict_zone,90,89912,
Tambura,Western_Equatoria,South_Sudan,5.59851,27.46212,conflict_zone,106,55365,
Pariang,Unity,South_Sudan,9.91229,29.98137,conflict_zone,125,82443,
Terakeka,Central_Equatoria,South_Sudan,5.43904,31.74703,conflict_zone,179,144373,
Aweil,Northern_Bahr_el_Ghazal,South_Sudan,8.78628,27.40153,conflict_zone,212,59217,
Nasir,Upper_Nile,South_Sudan,8.6,33.06667,conflict_zone,218,210002,
Ayod,Jonglei,South_Sudan,8.0462,31.30487,conflict_zone,244,139282,
Mvolo,Western_Equatoria,South_Sudan,6.0581,29.93668,conflict_zone,249,48134,
Renk,Upper_Nile,South_Sudan,11.75,32.8,conflict_zone,280,137751,
Bentiu,Unity,South_Sudan,9.25252,29.78826,conflict_zone,319,41328,
Rubkona,Unity,South_Sudan,9.30667,29.78333,conflict_zone,319,100236,
Fangak,Jonglei,South_Sudan,9.07318,30.87925,conflict_zone,325,110130,
Malakal,Upper_Nile,South_Sudan,9.48153,31.65666,conflict_zone,456,126483,
Rumbek,Lakes,South_Sudan,6.81868,29.69952,conflict_zone,477,32100,
Fashada,Upper_Nile,South_Sudan,9.83,32.08,conflict_zone,518,36518,
Melut,Upper_Nile,South_Sudan,10.44951,32.20846,conflict_zone,521,49242,
Mundri,Western_Equatoria,South_Sudan,5.233392,30.192026,conflict_zone,529,15368,
Maridi,Western_Equatoria,South_Sudan,4.9238,29.4626,conflict_zone,549,82461,
Pochalla,Jonglei,South_Sudan,7.17833,34.09667,conflict_zone,577,66201,
Lainya,Central_Equatoria,South_Sudan,4.35,31.08,town,,,
Leer,Unity,South_Sudan,8.29358,30.13261,town,,,
Akobo,Jonglei,South_Sudan,7.779,33.00233,town,,,
Torit,Eastern_Equatoria,South_Sudan,4.41818,32.57668,town,,,
Pibor,Jonglei,South_Sudan,6.73088,33.65118,town,,,
Mangalla,Central_Equatoria,South_Sudan,5.19991,31.77219,town,,,
Wau,Western_Bahr_el_Ghazal,South_Sudan,7.71773,28.00713,town,,,
Yambio,Western_Equatoria,South_Sudan,4.57097,28.41041,town,,,
Yei,Central_Equatoria,South_Sudan,4.08991,30.67164,town,,,
Magwi,Eastern_Equatoria,South_Sudan,3.93361,31.91544,town,,,
Loago,Central_Equatoria,South_Sudan,4.7104,31.42193,town,,,
Wunagak,Upper_Nile,South_Sudan,9.29151,32.07544,town,,,
Malut,Upper_Nile,South_Sudan,10.50676,32.50556,town,,,
Ad_Damazin,Blue_Nile_State,Sudan,11.73519,33.50906,town,,,
Gambela,Gambella,Ethiopia,8.27131,34.58592,town,,,
Lopeja,Central_Equatoria,South_Sudan,4.69136,31.70419,town,,,
Lolimi,Eastern_Equatoria,South_Sudan,4.5615,34.06163,town,,,
Wunshaiye,Jonglei,South_Sudan,7.13746,33.7735,town,,,
Al_Mayom,Unity,South_Sudan,9.39524,28.81969,town,,,
Lekr,Central_Equatoria,South_Sudan,3.81945,31.66833,town,,,
Faradje,Haut-Uele,DRC,3.73218,29.7088,town,,,
Gulu,Gulu,Uganda,2.76138,32.27919,town,,,
Tierkidi,Gambella,Ethiopia,8.28147,34.2693,camp,,52222,
Pugnido,Gambella,Ethiopia,7.75,34.5,camp,,64318,
Jewi,Gambella,Ethiopia,8.131498333,34.73316833,camp,,47101,
Kule,Gambella,Ethiopia,8.1654,34.151,camp,,50453,
Kakuma,Turkana,Kenya,3.729882,34.843126,camp,,91696,
Khartoum,Khartoum,Sudan,15,32,camp,,34059,
West_Kordofan,West_Kordofan,Sudan,15.900148,27.581123,camp,,33061,
Adjumani,Adjumani,Uganda,3.49149,31.552735,camp,,112734,
Rhino,Arua,Uganda,3.08836,31.3636,camp,,19557,
Kiryandongo,Kiryandongo,Uganda,1.940341667,32.18017222,camp,,37088,
