Time,Nakivale,
0,0,0
1,0,186
2,0,373
3,0,560
4,1,747
5,3,934
6,7,1120
7,11,1307
8,19,1494
9,25,1681
10,34,1868
11,44,2055
12,59,2241
13,70,2428
14,85,2615
15,94,2802
16,108,2989
17,135,3175
18,162,3362
19,195,3549
20,222,3736
21,252,3923
22,288,4110
23,327,4296
24,354,4483
25,386,4670
26,407,4857
27,438,5044
28,474,5230
29,504,5417
30,537,5604
31,585,5791
32,631,5978
33,688,6165
34,756,6351
35,813,6538
36,895,6725
37,965,6912
38,1031,7099
39,1087,7285
40,1160,7472
41,1230,7659
42,1295,7846
43,1370,8033
44,1439,8220
45,1501,8304
46,1574,8389
47,1655,8474
48,1732,8559
49,1803,8627
50,1879,8695
51,1950,8764
52,2040,8832
53,2105,8901
54,2176,8969
55,2256,9038
56,2351,9070
57,2448,9103
58,2535,9135
59,2621,9168
60,2715,9201
61,2813,9232
62,2910,9264
63,3026,9296
64,3117,9328
65,3256,9360
66,3362,9392
67,3472,9424
68,3580,9456
69,3691,9488
70,4099,9555
71,4245,9623
72,4424,9691
73,4623,9759
74,4781,9827
75,5000,9895
76,5260,9963
77,5441,10030
78,5588,10098
79,5772,10166
80,5947,10234
81,6111,10302
82,6372,10370
83,6601,10438
84,6767,10444
85,6992,10450
86,7191,10456
87,7441,10462
88,7733,10468
89,7974,10474
90,8242,10480
91,8411,10489
92,8603,10498
93,8939,10507
94,9255,10516
95,9463,10525
96,9697,10535
97,9944,10527
98,10207,10519
99,10441,10511
100,10704,10504
101,10893,10496
102,11120,10488
103,11394,10481
104,11625,10473
105,11800,10465
106,11967,10458
107,12144,10450
108,12361,10442
109,12529,10435
110,12768,10432
111,12949,10430
112,13176,10428
113,13418,10426
114,13657,10424
115,13841,10422
116,14149,10420
117,14344,10441
118,14516,10462
119,14712,10483
120,14912,10504
121,15090,10525
122,15280,10546
123,15447,10567
124,15626,10588
125,15810,10610
126,15982,10618
127,16174,10626
128,16326,10634
129,16494,10642
130,16668,10650
131,16813,10658
132,16947,10666
133,17097,10674
134,17241,10682
135,17398,10690
136,17493,10698
137,17683,10706
138,17834,10734
139,17984,10763
140,18137,10792
141,18302,10820
142,18431,10849
143,18411,10878
144,18400,10907
145,18375,10929
146,18391,10952
147,18390,10974
148,18379,10997
149,18385,11019
150,18379,11042
151,18390,11064
152,18380,11087
153,18388,11110
154,18375,11149
155,18412,11189
156,18390,11229
157,18379,11269
158,18392,11309
159,18378,11325
160,18388,11342
161,18377,11359
162,18393,11376
163,18381,11393
164,18385,11410
165,18384,11427
166,18381,11456
167,18376,11486
168,18393,11516
169,18376,11546
170,18392,11576
171,18378,11606
172,18393,11636
173,18379,11665
174,18388,11695
175,18378,11725
176,18392,11755
177,18376,11785
178,18400,11815
179,18378,11845
180,18387,11851
181,18392,11858
182,18379,11864
183,18390,11871
184,18374,11877
185,18394,11884
186,18378,11891
187,18395,11913
188,18374,11936
189,18402,11959
190,18382,11982
191,18386,12005
192,18377,12028
193,18395,12051
194,18375,12081
195,18400,12112
196,18377,12142
197,18386,12173
198,18375,12203
199,18392,12234
200,18376,12265
201,18397,12303
202,18380,12341
203,18383,12379
204,18390,12417
205,18377,12455
206,18395,12493
207,18380,12531
208,18390,12569
209,18378,12607
210,18390,12645
211,18384,12683
212,18396,12721
213,18378,12759
214,18398,12798
215,18380,12817
216,18381,12837
217,18384,12857
218,18392,12877
219,18376,12896
220,18398,12916
221,18375,12936
222,18395,12956
223,18380,12976
224,18389,13014
225,18380,13052
226,18396,13090
227,18379,13128
228,18391,13166
229,18374,13204
230,18400,13237
231,18384,13270
232,18388,13303
233,18385,13336
234,18396,13369
235,18375,13402
236,18411,13435
237,18388,13468
238,18374,13501
239,18390,13534
240,18387,13567
241,18387,13600
242,18380,13633
243,18388,13666
244,18385,13699
245,18377,13732
246,18396,13765
247,18379,13798
248,18398,13831
249,18377,13864
250,18398,13902
251,18380,13940
252,18396,13978
253,18378,14017
254,18399,14055
255,18376,14093
256,18400,14131
257,18387,14170
258,18386,14245
259,18383,14320
260,18382,14396
261,18393,14471
262,18374,14546
263,18403,14622
264,18386,14678
265,18393,14734
266,18375,14790
267,18393,14846
268,18378,14903
269,18396,14959
270,18376,15015
271,18393,15071
272,18376,15128
273,18398,15168
274,18383,15208
275,18393,15248
276,18375,15289
277,18397,15329
278,18379,15369
279,18399,15410
280,18374,15504
281,18412,15599
282,18394,15693
283,18377,15788
284,18393,15883
285,18377,15914
286,18398,15945
287,18382,15976
288,18397,16007
289,18379,16038
290,18402,16069
291,18382,16100
292,18391,16132
293,18388,16163
294,18377,16194
295,18394,16225
296,18374,16256
297,18405,16287
298,18380,16318
299,18398,16350
300,18384,16413
