Time,Nduta,
0,0,0
1,0,11
2,0,22
3,0,33
4,0,44
5,0,55
6,0,66
7,0,77
8,2,88
9,5,99
10,6,110
11,8,121
12,12,132
13,16,143
14,19,154
15,25,166
16,38,177
17,44,188
18,56,199
19,67,210
20,82,221
21,98,232
22,119,243
23,134,254
24,147,265
25,164,276
26,191,287
27,221,298
28,244,309
29,278,320
30,307,332
31,349,343
32,386,354
33,413,365
34,463,376
35,504,387
36,542,398
37,582,409
38,623,420
39,674,431
40,739,442
41,813,453
42,873,464
43,950,475
44,1007,487
45,1081,498
46,1162,509
47,1248,520
48,1335,531
49,1428,542
50,1529,553
51,1634,564
52,1727,575
53,1823,586
54,1929,597
55,2025,608
56,2139,619
57,2259,630
58,2395,641
59,2515,653
60,2635,664
61,2775,675
62,2890,686
63,3000,697
64,3134,708
65,3283,719
66,3427,730
67,3588,741
68,3731,752
69,3914,763
70,4061,774
71,4212,785
72,4358,796
73,4500,808
74,4689,819
75,4866,830
76,5052,841
77,5244,852
78,5396,863
79,5622,874
80,5805,885
81,6013,896
82,6232,907
83,6441,918
84,6659,929
85,6836,940
86,7024,951
87,7233,962
88,7451,974
89,7646,985
90,7873,996
91,8110,1007
92,8342,1018
93,8566,1029
94,8803,1040
95,9017,1051
96,9271,1062
97,9509,1073
98,9746,1084
99,9976,1095
100,10220,1106
101,10462,1117
102,10706,1129
103,10937,1140
104,11170,1151
105,11404,1162
106,11666,1173
107,11909,1184
108,12163,1195
109,12422,1206
110,12680,1217
111,12985,1228
112,13246,1239
113,13506,1250
114,13776,1261
115,14023,1272
116,14294,1283
117,14519,1295
118,14828,1306
119,15114,1317
120,15372,1328
121,15619,1339
122,15873,1350
123,16149,1361
124,16414,1372
125,16691,1383
126,16947,1394
127,17220,1405
128,17477,1416
129,17740,1427
130,18023,1438
131,18287,1450
132,18530,1461
133,18772,1472
134,19024,1483
135,19262,1494
136,19529,1505
137,19820,1516
138,20081,1527
139,20312,1538
140,20571,1549
141,20817,1560
142,21049,1571
143,21321,1582
144,21536,1593
145,21776,1604
146,22021,1616
147,22295,1627
148,22544,1638
149,22772,1649
150,23010,1660
151,23246,1671
152,23498,1682
153,23744,1693
154,23941,1704
155,24161,1715
156,24405,1726
157,24617,1737
158,24858,1748
159,25105,1759
160,25344,1771
161,25567,1848
162,25802,3375
163,26022,4902
164,26233,6430
165,26445,6855
166,26657,7280
167,26867,7705
168,27101,8130
169,27304,8555
170,27515,8980
171,27715,9405
172,27910,9830
173,28110,10255
174,28316,10680
175,28540,11105
176,28745,11530
177,28963,11955
178,29179,12380
179,29395,12805
180,29618,13230
181,29835,13655
182,30064,14080
183,30286,14505
184,30474,14930
185,30695,15355
186,30885,15780
187,31119,16205
188,31312,16630
189,31533,17055
190,31747,17480
191,31985,17905
192,32224,18330
193,32465,18755
194,32715,19240
195,32947,19725
196,33155,20210
197,33378,20695
198,33591,21181
199,33809,21666
200,34020,22151
201,34216,22636
202,34433,23122
203,34638,23498
204,34845,23874
205,35000,24250
206,35196,24627
207,35402,25003
208,35598,25379
209,35801,25756
210,35962,26128
211,36195,26501
212,36437,26873
213,36649,27246
214,36825,27619
215,37006,27885
216,37227,28292
217,37414,28699
218,37635,29107
219,37840,29514
220,38011,29922
221,38198,30022
222,38415,30222
223,38619,30423
224,38806,30600
225,38984,31344
226,39187,32088
227,39406,32239
228,39640,32788
229,39857,33337
230,40093,34335
231,40326,34717
232,40545,35099
233,40751,35481
234,40972,35481
235,41186,35741
236,41441,36226
237,41675,36926
238,41897,37063
239,42112,37200
240,42354,37338
241,42569,37452
242,42778,37562
243,43018,37841
244,43241,38121
245,43446,38401
246,43662,38631
247,43895,38862
248,44120,38994
249,44339,39280
250,44573,39567
251,44766,39831
252,44994,40095
253,45202,40267
254,45431,40440
255,45631,40505
256,45817,40570
257,46022,40635
258,46243,40815
259,46462,40996
260,46668,41177
261,46883,41358
262,47097,41474
263,47282,41591
264,47487,41708
265,47684,41797
266,47871,41887
267,48041,41977
268,48238,42067
269,48421,42157
270,48610,42474
271,48808,42791
272,48938,43108
273,49112,43224
274,49299,43340
275,49481,43457
276,49624,43573
277,49794,43689
278,49969,43806
279,50145,44073
280,50332,44340
281,50528,44572
282,50682,44804
283,50842,45037
284,51019,45269
285,51190,45502
286,51343,45734
287,51503,45967
288,51677,46199
289,51825,46431
290,51992,46664
291,52159,46896
292,52311,47129
293,52469,47361
294,52631,47594
295,52787,47651
296,52917,47792
297,53075,47897
298,53247,47972
299,53417,48047
300,53589,48186
301,53726,48326
302,53887,48441
303,54031,48556
304,54213,48671
305,54334,48786
306,54489,48988
307,54649,49056
308,54791,49125
309,54934,49223
310,55066,49322
311,55203,49421
312,55320,49555
313,55320,49690
314,55320,49825
315,55320,49960
316,55320,50033
317,55320,50106
318,55320,50180
319,55320,50253
320,55320,50327
321,55320,50464
322,55320,50601
323,55320,50739
324,55320,50876
325,55320,51014
326,55320,51207
327,55320,51401
328,55320,51595
329,55320,51789
330,55320,51983
331,55320,52176
332,55320,52370
333,55320,52564
334,55320,52758
335,55320,52952
336,55320,53276
337,55320,53601
338,55320,53926
339,55320,54251
340,55320,54007
341,55320,53764
342,55320,53857
343,55320,53950
344,55320,54044
345,55320,54137
346,55320,54230
347,55320,54324
348,55320,54417
349,55320,54510
350,55320,54604
351,55320,54730
352,55320,54856
353,55320,54982
354,55320,55109
355,55320,55109
356,55320,55109
357,55320,55109
358,55320,55109
359,55320,55109
360,55320,55109
361,55320,55118
362,55320,55127
363,55320,55136
364,55320,55145
365,55320,55140
366,55320,55135
367,55320,55131
368,55320,55126
369,55320,55122
370,55320,55117
371,55320,55113
372,55320,55108
373,55320,55104
374,55320,55099
375,55320,55095
376,55320,55090
377,55320,55086
378,55320,55081
379,55320,55077
380,55320,55072
381,55320,55068
382,55320,55063
383,55320,55059
384,55320,55054
385,55320,55050
386,55320,55059
387,55320,55068
388,55320,55077
389,55320,55086
390,55320,55095
391,55320,55104
392,55320,55113
393,55320,55122
394,55320,55132
395,55320,55132
