Time,Mahama,
0,0,0
1,0,773
2,0,1547
3,0,2321
4,0,3094
5,0,3868
6,0,4642
7,0,5415
8,0,6189
9,0,6963
10,0,7736
11,0,8510
12,1,9284
13,5,10057
14,7,10831
15,8,11605
16,9,12378
17,10,13152
18,15,13926
19,17,14699
20,19,15473
21,26,16247
22,35,17020
23,40,17794
24,48,18568
25,57,19341
26,65,20115
27,75,20889
28,81,21662
29,88,22436
30,108,23210
31,122,23984
32,138,24212
33,159,24441
34,180,24670
35,202,24899
36,227,25127
37,248,25356
38,277,25585
39,303,25814
40,330,26042
41,354,26271
42,375,26500
43,411,26729
44,442,26958
45,483,27024
46,520,27091
47,561,27158
48,601,27224
49,644,27291
50,684,27358
51,732,27424
52,774,27491
53,814,27558
54,856,27625
55,911,27841
56,954,28057
57,1016,28274
58,1077,28490
59,1124,28707
60,1180,28980
61,1235,29254
62,1305,29410
63,1362,29441
64,1420,29472
65,1492,29504
66,1575,29563
67,1642,29623
68,1700,29719
69,1770,29816
70,1857,29866
71,1924,29916
72,1990,29966
73,2067,30016
74,2151,30066
75,2225,30116
76,2296,30166
77,2385,30216
78,2498,30266
79,2617,30316
80,2705,30367
81,2790,30647
82,2894,30701
83,2998,30756
84,3102,30810
85,3220,30865
86,3369,30920
87,3497,30974
88,3625,31029
89,3774,31084
90,3903,31114
91,4028,31145
92,4145,31176
93,4280,31206
94,4414,31237
95,4558,31268
96,4699,31299
97,4827,31329
98,4984,31360
99,5147,31391
100,5328,31422
101,5502,32524
102,5668,32794
103,5825,32878
104,5999,33431
105,6182,33977
106,6343,34523
107,6532,35070
108,6693,35710
109,6878,36231
110,7063,36753
111,7228,37643
112,7391,38334
113,7566,39025
114,7729,39717
115,7898,40157
116,8069,41176
117,8215,42172
118,8390,42268
119,8564,42364
120,8758,42460
121,8930,42557
122,9104,42653
123,9266,42749
124,9446,42845
125,9615,42942
126,9770,43038
127,9923,43134
128,10103,43230
129,10260,43327
130,10427,43430
131,10594,43534
132,10734,43567
133,10899,43600
134,11062,43633
135,11249,43667
136,11412,43716
137,11578,43741
138,11754,43779
139,11894,43817
140,12045,43856
141,12198,43894
142,12344,43932
143,12507,43971
144,12655,44010
145,12830,44050
146,12986,44090
147,13150,44124
148,13289,44159
149,13436,44193
150,13584,44228
151,13736,44330
152,13866,44182
153,14011,44035
154,14166,43887
