Time,Nakivale,
0,0,0
1,0,186
2,0,373
3,1,560
4,3,747
5,4,934
6,6,1120
7,11,1307
8,19,1494
9,26,1681
10,35,1868
11,48,2055
12,62,2241
13,80,2428
14,96,2615
15,117,2802
16,144,2989
17,161,3175
18,181,3362
19,212,3549
20,239,3736
21,271,3923
22,297,4110
23,316,4296
24,356,4483
25,383,4670
26,419,4857
27,453,5044
28,485,5230
29,520,5417
30,543,5604
31,577,5791
32,613,5978
33,669,6165
34,717,6351
35,773,6538
36,821,6725
37,876,6912
38,932,7099
39,986,7285
40,1045,7472
41,1112,7659
42,1164,7846
43,1229,8033
44,1297,8220
45,1368,8304
46,1438,8389
47,1512,8474
48,1567,8559
49,1630,8627
50,1702,8695
51,1773,8764
52,1844,8832
53,1927,8901
54,1993,8969
55,2077,9038
56,2136,9070
57,2225,9103
58,2295,9135
59,2390,9168
60,2489,9201
61,2584,9232
62,2667,9264
63,2745,9296
64,2833,9328
65,2916,9360
66,3012,9392
67,3142,9424
68,3250,9456
69,3351,9488
70,3710,9555
71,3845,9623
72,4027,9691
73,4214,9759
74,4389,9827
75,4597,9895
76,4820,9963
77,4987,10030
78,5160,10098
79,5325,10166
80,5487,10234
81,5635,10302
82,5877,10370
83,6118,10438
84,6286,10444
85,6483,10450
86,6690,10456
87,6918,10462
88,7127,10468
89,7350,10474
90,7617,10480
91,7815,10489
92,7978,10498
93,8328,10507
94,8653,10516
95,8841,10525
96,9033,10535
97,9285,10527
98,9510,10519
99,9761,10511
100,10026,10504
101,10191,10496
102,10402,10488
103,10631,10481
104,10818,10473
105,10981,10465
106,11154,10458
107,11335,10450
108,11565,10442
109,11732,10435
110,11950,10432
111,12107,10430
112,12330,10428
113,12550,10426
114,12743,10424
115,12913,10422
116,13197,10420
117,13379,10441
118,13580,10462
119,13772,10483
120,13943,10504
121,14100,10525
122,14265,10546
123,14412,10567
124,14593,10588
125,14750,10610
126,14913,10618
127,15090,10626
128,15246,10634
129,15395,10642
130,15575,10650
131,15747,10658
132,15888,10666
133,16041,10674
134,16185,10682
135,16333,10690
136,16470,10698
137,16656,10706
138,16776,10734
139,16884,10763
140,17026,10792
141,17146,10820
142,17292,10849
143,17400,10878
144,17524,10907
145,17640,10929
146,17753,10952
147,17861,10974
148,17964,10997
149,18064,11019
150,18141,11042
151,18254,11064
152,18337,11087
153,18422,11110
154,18404,11149
155,18388,11189
156,18376,11229
157,18394,11269
158,18377,11309
159,18391,11325
160,18375,11342
161,18401,11359
162,18384,11376
163,18390,11393
164,18380,11410
165,18397,11427
166,18384,11456
167,18374,11486
168,18403,11516
169,18385,11546
170,18375,11576
171,18397,11606
172,18379,11636
173,18391,11665
174,18383,11695
175,18381,11725
176,18385,11755
177,18381,11785
178,18388,11815
179,18380,11845
180,18389,11851
181,18375,11858
182,18400,11864
183,18382,11871
184,18378,11877
185,18392,11884
186,18376,11891
187,18387,11913
188,18381,11936
189,18384,11959
190,18386,11982
191,18384,12005
192,18395,12028
193,18380,12051
194,18393,12081
195,18377,12112
196,18393,12142
197,18378,12173
198,18402,12203
199,18381,12234
200,18394,12265
201,18377,12303
202,18391,12341
203,18374,12379
204,18398,12417
205,18383,12455
206,18390,12493
207,18374,12531
208,18404,12569
209,18392,12607
210,18375,12645
211,18391,12683
212,18378,12721
213,18386,12759
214,18385,12798
215,18374,12817
216,18403,12837
217,18387,12857
218,18383,12877
219,18384,12896
220,18391,12916
221,18378,12936
222,18391,12956
223,18376,12976
224,18396,13014
225,18376,13052
226,18388,13090
227,18385,13128
228,18382,13166
229,18389,13204
230,18380,13237
231,18390,13270
232,18385,13303
233,18384,13336
234,18385,13369
235,18388,13402
236,18382,13435
237,18391,13468
238,18380,13501
239,18391,13534
240,18375,13567
241,18395,13600
242,18379,13633
243,18410,13666
244,18393,13699
245,18379,13732
246,18390,13765
247,18385,13798
248,18376,13831
249,18401,13864
250,18387,13902
251,18375,13940
252,18405,13978
253,18389,14017
254,18375,14055
255,18399,14093
256,18377,14131
257,18399,14170
258,18380,14245
259,18403,14320
260,18392,14396
261,18380,14471
262,18391,14546
263,18375,14622
264,18397,14678
265,18380,14734
266,18397,14790
267,18381,14846
268,18393,14903
269,18379,14959
270,18386,15015
271,18374,15071
272,18416,15128
273,18393,15168
274,18387,15208
275,18390,15248
276,18378,15289
277,18397,15329
278,18384,15369
279,18380,15410
280,18398,15504
281,18380,15599
282,18390,15693
283,18376,15788
284,18392,15883
285,18375,15914
286,18403,15945
287,18384,15976
288,18382,16007
289,18384,16038
290,18385,16069
291,18395,16100
292,18380,16132
293,18394,16163
294,18385,16194
295,18384,16225
296,18396,16256
297,18376,16287
298,18398,16318
299,18384,16350
300,18388,16413
