Time,Nduta,comparison
0,0,0
1,0,11
2,0,22
3,0,33
4,0,44
5,0,55
6,0,66
7,1,77
8,1,88
9,2,99
10,2,110
11,5,121
12,9,132
13,10,143
14,12,154
15,18,166
16,19,177
17,24,188
18,30,199
19,36,210
20,43,221
21,54,232
22,68,243
23,79,254
24,88,265
25,103,276
26,123,287
27,143,298
28,158,309
29,185,320
30,209,332
31,234,343
32,253,354
33,274,365
34,300,376
35,331,387
36,359,398
37,395,409
38,442,420
39,479,431
40,519,442
41,562,453
42,610,464
43,667,475
44,731,487
45,782,498
46,835,509
47,881,520
48,933,531
49,982,542
50,1034,553
51,1094,564
52,1155,575
53,1219,586
54,1267,597
55,1329,608
56,1383,619
57,1453,630
58,1526,641
59,1596,653
60,1655,664
61,1735,675
62,1806,686
63,1871,697
64,1949,708
65,2028,719
66,2109,730
67,2173,741
68,2254,752
69,2315,763
70,2391,774
71,2461,785
72,2536,796
73,2634,808
74,2733,819
75,2805,830
76,2885,841
77,2956,852
78,3038,863
79,3133,874
80,3211,885
81,3286,896
82,3358,907
83,3461,918
84,3554,929
85,3633,940
86,3715,951
87,3820,962
88,3939,974
89,4041,985
90,4153,996
91,4272,1007
92,4361,1018
93,4471,1029
94,4584,1040
95,4676,1051
96,4767,1062
97,4882,1073
98,4985,1084
99,5103,1095
100,5207,1106
101,5319,1117
102,5463,1129
103,5567,1140
104,5688,1151
105,5802,1162
106,5893,1173
107,5990,1184
108,6062,1195
109,6166,1206
110,6268,1217
111,6413,1228
112,6497,1239
113,6623,1250
114,6736,1261
115,6820,1272
116,6933,1283
117,7045,1295
118,7132,1306
119,7236,1317
120,7347,1328
121,7462,1339
122,7565,1350
123,7666,1361
124,7791,1372
125,7894,1383
126,8019,1394
127,8120,1405
128,8233,1416
129,8357,1427
130,8488,1438
131,8575,1450
132,8691,1461
133,8813,1472
134,8904,1483
135,9020,1494
136,9118,1505
137,9217,1516
138,9333,1527
139,9453,1538
140,9575,1549
141,9719,1560
142,9804,1571
143,9896,1582
144,9987,1593
145,10083,1604
146,10169,1616
147,10261,1627
148,10343,1638
149,10435,1649
150,10544,1660
151,10646,1671
152,10708,1682
153,10816,1693
154,10900,1704
155,10983,1715
156,11070,1726
157,11175,1737
158,11264,1748
159,11371,1759
160,11434,1771
161,11520,1848
162,11624,3375
163,11667,4902
164,11767,6430
165,11833,6855
166,11904,7280
167,12018,7705
168,12097,8130
169,12182,8555
170,12242,8980
171,12332,9405
172,12421,9830
173,12499,10255
174,12584,10680
175,12637,11105
176,12701,11530
177,12775,11955
178,12842,12380
179,12923,12805
180,13033,13230
181,13138,13655
182,13231,14080
183,13341,14505
184,13409,14930
185,13481,15355
186,13553,15780
187,13659,16205
188,13730,16630
189,13830,17055
190,13910,17480
191,13980,17905
192,14051,18330
193,14129,18755
194,14182,19240
195,14271,19725
196,14340,20210
197,14405,20695
198,14473,21181
199,14555,21666
200,14636,22151
201,14731,22636
202,14800,23122
203,14909,23498
204,15007,23874
205,15093,24250
206,15228,24627
207,15285,25003
208,15353,25379
209,15428,25756
210,15516,26128
211,15596,26501
212,15674,26873
213,15779,27246
214,15842,27619
215,15940,27885
216,16049,28292
217,16103,28699
218,16154,29107
219,16195,29514
220,16222,29922
221,16326,30022
222,16387,30222
223,16456,30423
224,16501,30600
225,16564,31344
226,16624,32088
227,16716,32239
228,16766,32788
229,16872,33337
230,16924,34335
231,17018,34717
232,17085,35099
233,17132,35481
234,17193,35481
235,17241,35741
236,17300,36226
237,17381,36926
238,17455,37063
239,17484,37200
240,17552,37338
241,17623,37452
242,17691,37562
243,17781,37841
244,17849,38121
245,17908,38401
246,17967,38631
247,18023,38862
248,18103,38994
249,18176,39280
250,18268,39567
251,18320,39831
252,18363,40095
253,18388,40267
254,18454,40440
255,18493,40505
256,18567,40570
257,18602,40635
258,18650,40815
259,18715,40996
260,18788,41177
261,18855,41358
262,18847,41474
263,18894,41591
264,18963,41708
265,19044,41797
266,19093,41887
267,19143,41977
268,19227,42067
269,19307,42157
270,19377,42474
271,19416,42791
272,19422,43108
273,19459,43224
274,19499,43340
275,19559,43457
276,19623,43573
277,19653,43689
278,19691,43806
279,19724,44073
280,19812,44340
281,19865,44572
282,19920,44804
283,19952,45037
284,20007,45269
285,20037,45502
286,20056,45734
287,20105,45967
288,20126,46199
289,20163,46431
290,20212,46664
291,20240,46896
292,20319,47129
293,20382,47361
294,20432,47594
295,20486,47651
296,20514,47792
297,20540,47897
298,20607,47972
299,20649,48047
300,20688,48186
301,20752,48326
302,20776,48441
303,20826,48556
304,20889,48671
305,20966,48786
306,21026,48988
307,21087,49056
308,21114,49125
309,21164,49223
310,21181,49322
311,21217,49421
312,21280,49555
313,21317,49690
314,21383,49825
315,21438,49960
316,21463,50033
317,21491,50106
318,21541,50180
319,21581,50253
320,21642,50327
321,21689,50464
322,21785,50601
323,21828,50739
324,21875,50876
325,21925,51014
326,21957,51207
327,21978,51401
328,22000,51595
329,22062,51789
330,22085,51983
331,22072,52176
332,22060,52370
333,22112,52564
334,22145,52758
335,22198,52952
336,22220,53276
337,22257,53601
338,22280,53926
339,22310,54251
340,22388,54007
341,22451,53764
342,22482,53857
343,22542,53950
344,22575,54044
345,22626,54137
346,22683,54230
347,22736,54324
348,22744,54417
349,22812,54510
350,22826,54604
351,22875,54730
352,22917,54856
353,22963,54982
354,22989,55109
355,23006,55109
356,23040,55109
357,23060,55109
358,23065,55109
359,23099,55109
360,23119,55109
361,23110,55118
362,23148,55127
363,23193,55136
364,23264,55145
365,23251,55140
366,23278,55135
367,23291,55131
368,23301,55126
369,23363,55122
370,23382,55117
371,23410,55113
372,23426,55108
373,23412,55104
374,23433,55099
375,23504,55095
376,23546,55090
377,23605,55086
378,23624,55081
379,23633,55077
380,23654,55072
381,23691,55068
382,23761,55063
383,23776,55059
384,23819,55054
385,23874,55050
386,23893,55059
387,23959,55068
388,23983,55077
389,24008,55086
390,23995,55095
391,24066,55104
392,24101,55113
393,24113,55122
394,24083,55132
395,24148,55132
