Time,Nduta,
0,0,0
1,0,11
2,0,22
3,0,33
4,0,44
5,0,55
6,1,66
7,1,77
8,1,88
9,1,99
10,3,110
11,3,121
12,4,132
13,10,143
14,11,154
15,15,166
16,19,177
17,25,188
18,28,199
19,35,210
20,39,221
21,49,232
22,61,243
23,79,254
24,93,265
25,110,276
26,132,287
27,150,298
28,174,309
29,201,320
30,232,332
31,258,343
32,285,354
33,310,365
34,356,376
35,385,387
36,426,398
37,461,409
38,503,420
39,544,431
40,595,442
41,643,453
42,672,464
43,715,475
44,758,487
45,810,498
46,861,509
47,916,520
48,973,531
49,1034,542
50,1073,553
51,1131,564
52,1210,575
53,1271,586
54,1346,597
55,1420,608
56,1489,619
57,1560,630
58,1632,641
59,1713,653
60,1791,664
61,1877,675
62,1949,686
63,2019,697
64,2112,708
65,2207,719
66,2294,730
67,2363,741
68,2460,752
69,2557,763
70,2643,774
71,2724,785
72,2812,796
73,2891,808
74,2991,819
75,3078,830
76,3159,841
77,3259,852
78,3336,863
79,3438,874
80,3548,885
81,3648,896
82,3758,907
83,3877,918
84,3983,929
85,4080,940
86,4211,951
87,4318,962
88,4435,974
89,4553,985
90,4662,996
91,4766,1007
92,4902,1018
93,5037,1029
94,5137,1040
95,5276,1051
96,5384,1062
97,5503,1073
98,5623,1084
99,5733,1095
100,5869,1106
101,6001,1117
102,6127,1129
103,6268,1140
104,6399,1151
105,6543,1162
106,6673,1173
107,6813,1184
108,6951,1195
109,7100,1206
110,7238,1217
111,7367,1228
112,7543,1239
113,7663,1250
114,7785,1261
115,7938,1272
116,8080,1283
117,8233,1295
118,8364,1306
119,8489,1317
120,8634,1328
121,8750,1339
122,8866,1350
123,9007,1361
124,9136,1372
125,9272,1383
126,9402,1394
127,9543,1405
128,9707,1416
129,9877,1427
130,10014,1438
131,10170,1450
132,10309,1461
133,10452,1472
134,10606,1483
135,10723,1494
136,10854,1505
137,10989,1516
138,11157,1527
139,11293,1538
140,11437,1549
141,11561,1560
142,11688,1571
143,11806,1582
144,11934,1593
145,12069,1604
146,12207,1616
147,12332,1627
148,12465,1638
149,12595,1649
150,12725,1660
151,12881,1671
152,13013,1682
153,13156,1693
154,13272,1704
155,13420,1715
156,13545,1726
157,13657,1737
158,13760,1748
159,13881,1759
160,14005,1771
161,14110,1848
162,14228,3375
163,14353,4902
164,14452,6430
165,14586,6855
166,14717,7280
167,14853,7705
168,14975,8130
169,15073,8555
170,15185,8980
171,15292,9405
172,15423,9830
173,15537,10255
174,15647,10680
175,15775,11105
176,15870,11530
177,15978,11955
178,16099,12380
179,16210,12805
180,16348,13230
181,16464,13655
182,16567,14080
183,16681,14505
184,16790,14930
185,16891,15355
186,16994,15780
187,17100,16205
188,17201,16630
189,17316,17055
190,17428,17480
191,17511,17905
192,17601,18330
193,17735,18755
194,17850,19240
195,17948,19725
196,18067,20210
197,18153,20695
198,18278,21181
199,18391,21666
200,18490,22151
201,18610,22636
202,18701,23122
203,18814,23498
204,18955,23874
205,19076,24250
206,19194,24627
207,19305,25003
208,19406,25379
209,19518,25756
210,19637,26128
211,19727,26501
212,19841,26873
213,19953,27246
214,20068,27619
215,20179,27885
216,20284,28292
217,20394,28699
218,20496,29107
219,20613,29514
220,20715,29922
221,20813,30022
222,20929,30222
223,21052,30423
224,21164,30600
225,21274,31344
226,21389,32088
227,21518,32239
228,21646,32788
229,21764,33337
230,21882,34335
231,22026,34717
232,22120,35099
233,22218,35481
234,22323,35481
235,22448,35741
236,22565,36226
237,22692,36926
238,22830,37063
239,22942,37200
240,23059,37338
241,23190,37452
242,23311,37562
243,23427,37841
244,23548,38121
245,23677,38401
246,23776,38631
247,23883,38862
248,24018,38994
249,24139,39280
250,24257,39567
251,24368,39831
252,24469,40095
253,24571,40267
254,24704,40440
255,24820,40505
256,24927,40570
257,25045,40635
258,25145,40815
259,25243,40996
260,25351,41177
261,25427,41358
262,25518,41474
263,25608,41591
264,25692,41708
265,25789,41797
266,25883,41887
267,25963,41977
268,26059,42067
269,26174,42157
270,26272,42474
271,26375,42791
272,26470,43108
273,26566,43224
274,26637,43340
275,26736,43457
276,26847,43573
277,26919,43689
278,27008,43806
279,27104,44073
280,27199,44340
281,27290,44572
282,27386,44804
283,27488,45037
284,27601,45269
285,27685,45502
286,27783,45734
287,27876,45967
288,27967,46199
289,28067,46431
290,28166,46664
291,28220,46896
292,28311,47129
293,28402,47361
294,28476,47594
295,28536,47651
296,28614,47792
297,28677,47897
298,28748,47972
299,28818,48047
300,28902,48186
301,28992,48326
302,29063,48441
303,29129,48556
304,29219,48671
305,29292,48786
306,29364,48988
307,29434,49056
308,29526,49125
309,29633,49223
310,29708,49322
311,29776,49421
312,29874,49555
313,29964,49690
314,30050,49825
315,30150,49960
316,30249,50033
317,30332,50106
318,30407,50180
319,30499,50253
320,30593,50327
321,30680,50464
322,30755,50601
323,30830,50739
324,30914,50876
325,30992,51014
326,31050,51207
327,31112,51401
328,31184,51595
329,31265,51789
330,31346,51983
331,31404,52176
332,31495,52370
333,31587,52564
334,31649,52758
335,31711,52952
336,31776,53276
337,31844,53601
338,31901,53926
339,31971,54251
340,32027,54007
341,32117,53764
342,32216,53857
343,32288,53950
344,32373,54044
345,32443,54137
346,32533,54230
347,32597,54324
348,32657,54417
349,32735,54510
350,32819,54604
351,32897,54730
352,32957,54856
353,33015,54982
354,33100,55109
355,33172,55109
356,33257,55109
357,33338,55109
358,33415,55109
359,33472,55109
360,33556,55109
361,33619,55118
362,33679,55127
363,33733,55136
364,33798,55145
365,33865,55140
366,33924,55135
367,33983,55131
368,34040,55126
369,34096,55122
370,34151,55117
371,34220,55113
372,34280,55108
373,34340,55104
374,34405,55099
375,34463,55095
376,34511,55090
377,34581,55086
378,34641,55081
379,34694,55077
380,34753,55072
381,34798,55068
382,34850,55063
383,34909,55059
384,34970,55054
385,35035,55050
386,35114,55059
387,35153,55068
388,35243,55077
389,35292,55086
390,35331,55095
391,35388,55104
392,35448,55113
393,35492,55122
394,35549,55132
395,35616,55132
