Time,Bangui,Bangassou,Mobaye,Sibut,Bouar,Bossangoa,Nola,Mbaiki,Bimbo,Bozoum,Obo,Bambari,Bria,Ndele,Birao,Kaga Bandoro,Berberati,Melego,Rafai,Ippy,Mbres,Bossembele,Yaloke,Katakpo,Banga,Kago,Yapara,Beboura III,Gamboula,Baboua,Belom,Dosseye,East,Adamaoua,Monga,Mole,Gbadolite,Inke,Betou,Brazaville
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,978,3203,0,0,0,6701,1962,0,1083,0,0,0,0,939,0,0,0,0,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2462,0,0,1717,5625,226,0,480,11410,3557,0,1858,0,0,0,93,1605,80,0,117,0,1842,257,0,145,0,0,95,86,287,0,0,0,0,0,0,0,0,0,0
3,4187,8,6,2458,7727,578,11,1064,15952,5323,0,2698,11,0,0,213,2241,199,1,271,22,2618,650,55,366,15,14,243,214,671,0,11,22,12,0,0,0,0,52,0
4,5841,14,38,2222,6949,1042,27,1849,13391,5071,0,2406,34,1,0,377,1971,337,11,462,49,2348,1131,191,649,37,55,495,319,1089,0,41,86,58,3,0,0,0,171,0
5,5195,35,72,2162,6738,1356,56,2197,12410,5044,2,2419,75,6,0,533,1928,413,27,560,95,2354,1423,368,819,81,91,678,410,1326,3,92,182,111,9,0,3,0,344,0
6,4982,47,122,2052,6449,1608,104,2366,11500,5074,5,2355,115,12,0,624,1883,490,37,661,153,2371,1591,591,905,125,160,856,502,1479,13,166,303,186,19,0,10,0,553,0
7,4570,69,169,2005,6223,1804,163,2466,10868,4980,8,2307,163,18,1,746,1839,541,45,731,187,2477,1805,800,1038,173,238,928,542,1572,29,274,438,276,40,0,21,0,767,0
8,4332,87,207,1990,6041,1960,248,2462,10404,4909,9,2208,214,20,3,855,1798,564,70,805,230,2470,1937,991,1156,232,296,1000,579,1604,49,380,613,359,56,0,39,0,996,0
9,4282,109,226,1931,5922,2025,314,2443,9824,4880,14,2132,261,28,3,968,1799,616,70,867,279,2504,1988,1210,1190,301,353,1073,602,1621,75,516,774,453,76,0,54,0,1241,1
10,4086,125,256,1900,5746,2136,391,2390,9404,4905,14,2163,255,36,3,986,1824,610,76,938,367,2552,2065,1320,1344,343,430,1121,588,1602,110,631,960,555,105,0,67,0,1471,2
11,3959,131,295,1888,5606,2170,438,2366,9082,4785,14,2150,265,53,7,1061,1807,594,88,1000,404,2591,2178,1471,1496,380,489,1198,589,1594,161,753,1116,642,139,0,84,0,1679,6
12,3835,131,316,1878,5480,2230,497,2324,8688,4771,16,2127,312,61,7,1119,1809,628,106,1031,426,2668,2205,1628,1564,442,564,1237,622,1589,196,889,1288,713,178,0,108,0,1889,9
13,3695,150,331,1809,5314,2338,556,2262,8482,4763,19,2089,331,65,10,1215,1853,679,115,1059,453,2708,2239,1788,1620,499,622,1180,624,1649,242,1022,1430,801,208,0,133,0,2066,14
14,3575,181,349,1814,5192,2354,585,2126,8266,4761,16,2050,343,84,12,1290,1887,688,124,1115,469,2794,2248,1906,1761,506,700,1196,635,1565,307,1174,1599,899,239,0,159,0,2297,19
15,3614,182,369,1788,5075,2421,629,2104,7951,4686,15,1976,360,85,19,1378,1890,688,150,1186,505,2787,2303,2010,1829,559,733,1226,680,1508,363,1320,1760,994,283,0,184,0,2505,22
16,3559,204,381,3790,11712,2446,710,2050,22535,8904,20,4203,369,96,21,1414,3888,713,158,1184,551,5155,2324,2093,1898,597,819,1223,707,1497,436,1464,1914,1060,343,0,209,0,2695,26
17,8691,219,362,5345,16691,2922,787,2957,32626,12395,20,5961,386,99,26,1617,5380,895,186,1405,606,6886,2910,2195,2279,633,889,1426,891,2035,518,1617,2071,1130,388,0,246,0,2875,34
18,12299,236,430,4870,14740,3705,783,4330,27158,11530,22,5342,415,101,32,1965,4685,1104,201,1773,660,6162,3832,2421,2816,652,990,1785,1231,2772,602,1796,2291,1233,437,0,268,0,3135,43
19,10766,248,473,4757,14050,4173,946,4871,25016,11286,32,5214,512,123,32,2245,4570,1259,212,1942,746,6039,4299,2728,3108,727,1125,2014,1356,3189,676,2000,2584,1380,503,0,311,0,3538,45
20,10151,271,522,4542,13260,4505,1032,5069,23024,11037,32,5020,564,133,34,2419,4374,1334,243,2125,835,6101,4522,3120,3418,861,1257,2253,1464,3423,768,2210,2899,1566,569,0,338,0,3999,49
