Time,Bangui,Bangassou,Mobaye,Sibut,Bouar,Bossangoa,Nola,Mbaiki,Bimbo,Bozoum,Obo,Bambari,Bria,Ndele,Birao,Kaga Bandoro,Berberati,Melego,Rafai,Ippy,Mbres,Bossembele,Yaloke,Katakpo,Banga,Kago,Yapara,Beboura III,Gamboula,Baboua,Belom,Dosseye,East,Adamaoua,Mole,Gbadolite,Inke,Betou,Brazaville
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,629,1997,0,0,0,4547,1306,0,673,0,0,0,0,627,0,0,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,5499,0,0,0,0
2,1583,0,0,1130,3557,146,0,293,7760,2384,0,1184,0,0,0,55,1033,46,0,82,0,1171,176,0,107,0,0,60,65,153,0,0,0,0,10957,0,0,0,0
3,2844,7,7,1585,4974,394,8,734,10332,3373,0,1660,7,0,0,153,1433,110,2,202,10,1664,409,21,240,8,6,179,140,377,0,9,23,11,16952,0,0,39,0
4,3884,6,22,1337,4193,695,12,1147,8295,3086,0,1485,34,0,0,281,1190,218,7,305,35,1461,698,114,403,19,33,327,231,690,2,39,82,38,18248,1,0,147,0
5,3128,13,61,1199,3921,909,42,1384,7275,2919,0,1376,58,2,0,369,1112,270,17,368,52,1396,885,214,501,35,64,422,250,836,8,101,175,97,19851,2,0,305,0
6,2913,27,82,1204,3667,1005,57,1466,6639,2942,1,1329,79,5,0,396,1076,294,21,430,99,1392,987,357,566,69,110,466,274,910,13,183,289,160,20454,8,0,498,1
7,2672,47,100,1207,3644,1091,93,1456,6360,2979,2,1355,101,13,0,463,1086,295,23,474,138,1467,1054,468,643,110,131,517,302,931,20,265,408,223,20454,17,0,710,2
8,2616,57,108,1183,3532,1149,126,1455,6124,2908,2,1371,125,17,3,509,1077,345,33,519,169,1544,1115,550,719,123,175,602,316,959,43,349,551,288,20454,23,0,931,3
9,2529,69,144,1187,3446,1158,162,1429,5964,2983,3,1331,160,12,6,544,1122,352,53,552,175,1539,1184,659,772,155,228,644,325,927,72,437,700,364,20454,33,0,1148,3
10,2423,69,179,1228,3410,1193,192,1442,5720,3004,9,1317,163,14,4,584,1139,370,63,612,205,1594,1194,768,822,201,262,676,331,916,101,537,858,428,20454,44,0,1344,7
11,2476,89,173,1229,3342,1213,235,1403,5613,2982,9,1340,172,25,4,668,1157,390,72,643,232,1508,1246,845,870,233,276,694,335,921,138,632,989,506,20454,69,0,1535,11
12,2393,101,193,1224,3434,1276,260,1346,5481,2917,12,1359,199,42,3,704,1188,418,88,655,247,1515,1287,898,922,263,304,718,369,902,173,728,1114,578,20454,80,0,1721,15
