Time,Adamaoua,
0,0,0
1,0,25
2,0,51
3,19,76
4,74,102
5,167,127
6,278,153
7,406,178
8,512,204
9,648,230
10,792,255
11,910,281
12,1026,306
13,1152,332
14,1267,357
15,1381,383
16,1504,409
17,1608,434
18,1762,460
19,1954,485
20,2203,511
21,2463,536
22,2712,562
23,2997,588
24,3248,613
25,3494,639
26,3746,664
27,3972,690
28,4174,715
29,4339,741
30,4513,767
31,4713,792
32,5017,818
33,5288,843
34,5601,869
35,5846,894
36,6094,920
37,6360,946
38,6584,971
39,6784,997
40,6975,1022
41,7136,1048
42,7304,1073
43,7444,1099
44,7594,1125
45,7726,1150
46,7848,1176
47,7963,1201
48,8081,1227
49,8212,1252
50,8325,1278
51,8437,1304
52,8542,1329
53,8630,1355
54,8737,1380
55,8821,1406
56,8915,1431
57,8996,1457
58,9098,1483
59,9193,1508
60,9306,1534
61,9386,1559
62,9467,1585
63,9555,1610
64,9639,1636
65,9728,1662
66,9796,1687
67,9879,1713
68,9940,1738
69,10022,1764
70,10080,1789
71,10157,1815
72,10232,1841
73,10309,1866
74,10376,1892
75,10439,1917
76,10495,1943
77,10557,1968
78,10627,1994
79,10698,2020
80,10752,2045
81,10826,2071
82,10872,2096
83,10933,2122
84,10984,2147
85,11049,2173
86,11109,2199
87,11168,2224
88,11227,2250
89,11283,2275
90,11368,2301
91,11416,2326
92,11462,2352
93,11510,2378
94,11569,2403
95,11634,2429
96,11706,2454
97,11773,2480
98,11833,2505
99,11885,2531
100,11939,2557
101,11990,2582
102,12049,2608
103,12106,2633
104,12162,2659
105,12231,2684
106,12285,2710
107,12349,2736
108,12408,2736
109,12477,2842
110,12565,2948
111,12659,3055
112,12763,3161
113,12852,3268
114,12940,3374
115,13026,3480
116,13124,3587
117,13222,3693
118,13313,3800
119,13393,3906
120,13454,4012
121,13524,4119
122,13579,4225
123,13632,4332
124,13718,4438
125,13791,4545
126,13876,4545
127,13962,4545
128,14036,4545
129,14123,4545
130,14204,4545
131,14280,4545
132,14355,4545
133,14406,4545
134,14483,4545
135,14537,4593
136,14607,4641
137,14662,4689
138,14729,4737
139,14811,4785
140,14872,4834
141,14934,4882
142,15014,4930
143,15063,4978
144,15113,5026
145,15169,5075
146,15258,5138
147,15326,5202
148,15396,5266
149,15464,5330
150,15552,5394
151,15634,5458
152,15695,5522
153,15775,5586
154,15864,5650
155,15933,5714
156,15991,5778
157,16061,5842
158,16137,5906
159,16187,5970
160,16252,6034
161,16309,6098
162,16363,6162
163,16419,6226
164,16483,6290
165,16538,6354
166,16595,6418
167,16659,6481
168,16728,6545
