"Time","Brazaville",
0,0,0
1,0,-1507
2,0,-1494
3,0,-1480
4,0,-1466
5,0,-1453
6,0,-1439
7,0,-1425
8,0,-1412
9,0,-1398
10,4,-1384
11,11,-1370
12,14,-1357
13,21,-1343
14,28,-1329
15,32,-1316
16,36,-1302
17,41,-1288
18,46,-1275
19,51,-1261
20,61,-1247
21,70,-1233
22,83,-1220
23,92,-1206
24,102,-1192
25,121,-1179
26,137,-1165
27,159,-1151
28,182,-1138
29,198,-1124
30,213,-1110
31,233,-1096
32,250,-1083
33,272,-1069
34,294,-1055
35,320,-1042
36,351,-1028
37,390,-1014
38,419,-1001
39,449,-987
40,480,-973
41,512,-959
42,541,-946
43,576,-932
44,604,-918
45,638,-905
46,673,-891
47,717,-877
48,761,-864
49,803,-850
50,843,-836
51,870,-822
52,899,-809
53,938,-795
54,969,-781
55,992,-768
56,1030,-754
57,1063,-740
58,1095,-727
59,1133,-713
60,1172,-699
61,1206,-685
62,1244,-672
63,1275,-658
64,1302,-644
65,1332,-631
66,1362,-617
67,1387,-603
68,1423,-590
69,1459,-576
70,1483,-562
71,1521,-548
72,1542,-535
73,1574,-521
74,1600,-507
75,1627,-494
76,1654,-480
77,1689,-466
78,1721,-453
79,1747,-439
80,1781,-425
81,1812,-411
82,1836,-398
83,1860,-384
84,1883,-370
85,1910,-357
86,1942,-343
87,1961,-329
88,1980,-316
89,2011,-302
90,2025,-288
91,2044,-274
92,2082,-261
93,2104,-247
94,2132,-233
95,2153,-220
96,2183,-206
97,2204,-192
98,2221,-179
99,2243,-165
100,2265,-151
101,2294,-137
102,2315,-124
103,2329,-110
104,2361,-96
105,2381,-83
106,2400,-69
107,2418,-55
108,2439,-42
109,2461,-28
110,2474,-14
111,2492,0
112,2504,13
113,2518,27
114,2540,41
115,2559,54
116,2578,68
117,2600,82
118,2616,95
119,2649,109
120,2669,123
121,2685,137
122,2710,141
123,2736,145
124,2750,150
125,2766,154
126,2786,158
127,2809,163
128,2832,167
129,2846,171
130,2863,176
131,2889,180
132,2918,184
133,2940,189
134,2968,193
135,2987,198
136,3005,200
137,3021,203
138,3036,205
139,3050,208
140,3067,211
141,3087,213
142,3101,216
143,3112,219
144,3123,226
145,3145,234
146,3161,242
147,3181,250
148,3196,258
149,3205,266
150,3222,274
151,3239,278
152,3268,283
153,3293,287
154,3318,292
155,3331,297
156,3352,301
157,3359,306
158,3391,311
159,3414,315
160,3437,320
161,3462,325
162,3478,330
163,3495,335
164,3514,340
165,3530,345
166,3541,354
167,3568,363
168,3589,372
169,3616,381
170,3631,390
171,3650,399
172,3666,408
173,3684,417
174,3703,426
175,3729,435
176,3748,445
177,3761,458
178,3776,472
179,3788,485
180,3799,499
181,3807,512
182,3815,526
183,3830,539
184,3849,553
185,3858,566
186,3868,580
187,3888,593
188,3900,607
189,3911,620
190,3926,634
191,3934,644
192,3954,655
193,3967,666
194,3988,677
195,4000,688
196,4005,699
197,4014,710
198,4026,721
199,4041,732
200,4052,743
201,4064,753
202,4066,764
203,4085,775
204,4093,786
205,4106,797
206,4118,808
207,4136,819
208,4143,830
209,4156,841
210,4167,852
211,4168,863
212,4177,873
213,4191,884
214,4205,895
215,4223,906
216,4236,917
217,4252,928
218,4267,939
219,4284,950
220,4305,961
221,4324,972
222,4334,982
223,4356,993
224,4371,1004
225,4379,1015
226,4395,1026
227,4417,1037
228,4436,1048
229,4453,1059
230,4476,1070
231,4493,1081
232,4507,1092
233,4528,1106
234,4541,1121
235,4571,1136
236,4584,1150
237,4606,1165
238,4627,1180
239,4646,1195
240,4660,1209
241,4686,1224
242,4712,1239
243,4731,1254
244,4760,1267
245,4783,1281
246,4810,1295
247,4835,1309
248,4877,1323
249,4916,1337
250,4964,1351
251,5000,1365
252,5038,1379
253,5063,1393
254,5103,1406
255,5148,1420
256,5191,1434
257,5244,1448
258,5285,1462
259,5338,1476
260,5397,1490
261,5438,1504
262,5479,1518
263,5535,1532
264,5573,1556
265,5612,1581
266,5653,1606
267,5691,1630
268,5738,1655
269,5788,1680
270,5843,1704
271,5888,1729
272,5929,1754
273,5972,1779
274,6004,1795
275,6037,1811
276,6080,1828
277,6114,1844
278,6154,1861
279,6203,1877
280,6236,1893
281,6282,1910
282,6325,1926
283,6369,1943
284,6417,1969
285,6452,1996
286,6492,2023
287,6537,2050
288,6586,2077
289,6633,2104
290,6666,2131
291,6709,2158
