Day,Belom sim,Belom data,Belom error,Dosseye sim,Dosseye data,Dosseye error,East sim,East data,East error,Adamaoua sim,Adamaoua data,Adamaoua error,Mole sim,Mole data,Mole error,Inke sim,Inke data,Inke error,Betou sim,Betou data,Betou error,Brazaville sim,Brazaville data,Brazaville error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2391.0,1.0,0
1,0,1408,1.0,0,919,1.0,0,36,1.0,0,25,1.0,1168,1436,0.186629526462,0,2894,1.0,0,682,1.0,0,884,1.0,0.859005311443747,8284,5893,15971
2,0,2816,1.0,0,1838,1.0,0,72,1.0,0,51,1.0,2730,2872,0.0494428969359,0,5788,1.0,0,1364,1.0,0,897,1.0,0.8260924958593452,15698,13307,31942
3,0,4225,1.0,7,2758,0.997461928934,8,108,0.925925925926,6,76,0.921052631579,4464,4308,0.0362116991643,0,8683,1.0,11,2046,0.994623655914,0,911,1.0,0.8189919965390439,23115,20724,47913
4,0,5633,1.0,17,3677,0.99537666576,24,145,0.834482758621,12,102,0.882352941176,5368,4382,0.225011410315,0,8711,1.0,41,2728,0.984970674487,0,925,1.0,0.8673155153404555,26303,23912,48765
5,4,7042,0.999431979551,39,4597,0.991516206221,59,181,0.674033149171,27,127,0.787401574803,6439,4456,0.445017953321,0,8739,1.0,100,3410,0.970674486804,0,938,1.0,0.9083757205832486,29490,27099,49617
6,9,8450,0.998934911243,54,5516,0.990210297317,114,217,0.47465437788,52,153,0.660130718954,7524,4531,0.660560582653,0,8767,1.0,195,4092,0.952346041056,0,952,1.0,0.9399596058510312,32678,30287,50469
7,12,9858,0.998782714547,87,6435,0.98648018648,165,253,0.347826086957,85,178,0.522471910112,8628,4605,0.873615635179,0,8796,1.0,279,4774,0.941558441558,0,966,1.0,0.9662623727868396,35865,33474,51321
8,19,11267,0.998313659359,120,7355,0.983684568321,231,290,0.203448275862,126,204,0.382352941176,9802,4680,1.09444444444,1,8824,0.999886672711,381,5457,0.930181418362,1,979,0.99897854954,0.9888109381401066,39056,36665,52173
9,29,12675,0.997712031558,160,8274,0.980662315688,306,326,0.0613496932515,162,230,0.295652173913,10921,4754,1.29722339083,3,8852,0.999661093538,490,6139,0.920182440137,1,993,0.998992950655,1.00620221101721,42243,39852,53025
10,37,14084,0.997372905425,229,9194,0.975092451599,390,362,0.0773480662983,216,255,0.152941176471,12121,4828,1.51056338028,7,8881,0.999211800473,616,6821,0.909690661193,1,1007,0.999006951341,1.0225611903504137,45432,43041,53877
11,53,15492,0.996578879422,298,10113,0.970532977356,468,398,0.175879396985,271,281,0.0355871886121,13323,4903,1.71731592902,10,8909,0.998877539567,732,7503,0.90243902439,3,1021,0.997061704212,1.0374742904154668,48620,46229,54729
12,72,16900,0.99573964497,363,11032,0.967095721537,559,435,0.285057471264,327,306,0.0686274509804,14537,4977,1.92083584489,15,8937,0.998321584424,875,8185,0.893097128894,4,1034,0.996131528046,1.051306798440335,51806,49415,55581
13,102,18309,0.994428969359,433,11952,0.963771753681,649,471,0.377919320594,380,332,0.144578313253,15772,5052,2.12193190816,21,8965,0.997657557167,987,8867,0.888688395173,4,1048,0.996183206107,1.0644410502582007,54996,52605,56433
14,121,19717,0.993863163767,526,12871,0.959132934504,730,507,0.439842209073,419,357,0.173669467787,17040,5126,2.32422941865,30,8994,0.996664442962,1098,9549,0.885014137606,5,1062,0.995291902072,1.0761218912740835,58183,55792,57285
15,153,21126,0.992757739279,600,13791,0.956493365238,845,544,0.553308823529,468,383,0.221932114883,18281,5201,2.51490098058,40,9022,0.995566393261,1218,10232,0.880961688819,6,1075,0.994418604651,1.0866979502721021,61374,58983,58137
16,185,22534,0.991790183722,695,14710,0.952753229096,964,580,0.662068965517,525,409,0.283618581907,19355,5275,2.6691943128,49,9050,0.994585635359,1361,10186,0.866385234636,8,1089,0.992653810836,1.094277254711513,63833,61442,93368
17,229,23943,0.990435617926,798,15630,0.948944337812,1076,616,0.746753246753,585,434,0.347926267281,20490,5349,2.83062254627,60,9079,0.993391342659,1509,10141,0.851198106696,8,1103,0.99274705349,1.1018025492118562,66295,63904,128599
