Time,East,
0,0,0
1,0,36
2,0,72
3,30,108
4,96,145
5,210,181
6,342,217
7,497,253
8,646,290
9,800,326
10,934,362
11,1108,398
12,1275,435
13,1450,471
14,1616,507
15,1771,544
16,1934,580
17,2101,616
18,2338,652
19,2624,689
20,2920,725
21,3270,761
22,3633,797
23,4019,834
24,4392,870
25,4724,906
26,5095,943
27,5452,979
28,5819,1015
29,6174,1051
30,6497,1088
31,6835,1124
32,7297,1160
33,7730,1196
34,8208,1233
35,8644,1269
36,9097,1305
37,9505,1342
38,9892,1378
39,10292,1414
40,10659,1450
41,10977,1487
42,11324,1523
43,11667,1559
44,11991,1595
45,12333,1632
46,12657,1668
47,12982,1704
48,13282,1741
49,13593,1777
50,13902,1813
51,14163,1849
52,14435,1886
53,14741,1922
54,14991,1958
55,15256,1994
56,15532,2031
57,15813,2067
58,16084,2103
59,16306,2139
60,16572,2176
61,16810,2212
62,17054,2248
63,17300,2285
64,17518,2321
65,17732,2357
66,17965,2393
67,18196,2430
68,18436,2466
69,18686,2502
70,18938,2538
71,19153,2575
72,19350,2611
73,19592,2647
74,19778,2684
75,19978,2720
76,20219,2756
77,20412,2792
78,20627,2829
79,20818,2865
80,21004,2901
81,21195,2937
82,21391,2974
83,21536,3010
84,21709,3046
85,21915,3083
86,22072,3119
87,22253,3155
88,22413,3191
89,22606,3228
90,22754,3264
91,22945,3300
92,23117,3336
93,23272,3373
94,23436,3409
95,23630,3445
96,23820,3482
97,23987,3518
98,24162,3554
99,24306,3590
100,24462,3627
101,24606,3663
102,24748,3699
103,24892,3735
104,25062,3772
105,25241,3808
106,25409,3844
107,25563,3881
108,25724,11602
109,25884,11712
110,26047,11823
111,26219,11933
112,26375,12044
113,26580,12155
114,26792,12265
115,26966,12376
116,27153,12487
117,27372,12597
118,27538,12708
119,27731,12819
120,27882,12929
121,28047,13040
122,28202,13151
123,28349,13261
124,28491,13372
125,28660,13483
126,28827,13483
127,28999,13483
128,29180,13483
129,29357,13483
130,29512,13483
131,29672,13483
132,29821,13483
133,29958,13483
134,30101,13483
135,30282,13721
136,30437,13960
137,30581,14199
138,30698,14438
139,30845,14677
140,30980,14916
141,31128,15155
142,31247,15394
143,31349,15633
144,31464,15872
145,31573,16111
146,31712,16338
147,31845,16566
148,31971,16794
149,32110,17022
150,32276,17249
151,32435,17477
152,32601,17705
153,32754,17933
154,32885,18161
155,33043,18388
156,33165,18616
157,33273,18844
158,33379,19072
159,33471,19299
160,33550,19527
161,33685,19755
162,33790,19983
163,33897,20211
164,34018,20438
165,34145,20666
166,34243,20894
167,34365,21122
168,34477,21349
169,34575,21577
170,34706,21805
171,34801,22033
172,34869,22261
173,34967,22488
174,35076,22716
175,35167,22944
176,35267,23172
177,35337,23399
178,35411,23627
179,35496,23855
180,35571,24083
181,35661,24311
182,35740,24538
183,35827,24766
184,35919,24994
185,35995,25222
186,36072,25449
187,36168,25677
188,36248,25905
189,36331,26133
190,36414,26361
191,36494,26588
192,36578,26816
193,36646,27044
194,36753,27272
195,36825,27499
196,36910,27727
197,36994,27955
198,37073,28183
199,37167,28411
200,37236,28638
201,37315,28866
202,37411,29094
203,37500,29322
204,37583,29549
205,37644,29777
206,37712,30005
207,37804,30233
208,37909,30461
209,38054,30841
210,38174,31221
211,38304,31601
212,38438,31981
213,38581,32361
214,38725,32741
215,38847,33121
216,38956,33501
217,39091,33881
218,39219,34261
219,39355,34641
220,39450,35021
221,39548,35401
222,39655,35781
223,39778,36161
224,39877,36541
225,39982,36921
226,40086,37301
227,40197,37681
228,40292,38061
229,40391,38441
230,40464,38821
231,40545,39201
232,40626,39581
233,40710,39961
234,40827,40341
235,40971,40721
236,41150,41101
237,41380,41481
238,41676,41862
239,42026,42043
240,42392,42224
241,42779,42405
242,43178,42586
243,43574,42767
244,43933,42948
245,44267,43130
246,44662,43149
247,45035,43168
248,45403,43187
249,45773,43206
250,46062,43225
251,46393,43244
252,46671,43264
253,46980,43359
254,47264,43455
255,47523,43551
256,47827,43646
257,48129,43742
258,48404,43838
259,48659,43934
260,48894,43972
261,49125,44010
262,49373,44049
263,49604,44087
264,49863,44126
265,50096,44164
266,50318,44203
267,50549,44277
268,50766,44352
269,50977,44426
270,51198,44501
271,51412,44575
272,51640,44650
273,51825,44725
274,52035,44738
275,52253,44752
276,52433,44765
277,52610,44779
278,52812,44792
279,52984,44806
280,53171,44819
281,53370,44833
282,53564,44846
283,53750,44860
284,53924,44873
285,54113,44887
286,54299,44900
287,54449,44914
288,54611,44927
289,54766,44941
290,54913,44954
291,55096,44968
292,55268,44981
293,55406,44995
294,55569,45009
295,55763,44786
296,55864,44563
297,56024,44341
298,56178,44118
299,56320,43896
300,56457,43673
301,56586,43451
302,56737,43512
303,56866,43574
304,56996,43636
305,57137,43697
306,57300,43759
307,57427,43821
308,57549,43883
309,57654,47030
310,57777,50177
311,57897,53325
312,58028,56472
313,58130,59620
314,58257,62767
315,58360,65915
316,58492,69062
317,58616,72209
318,58752,75357
319,58934,78504
320,59115,81652
321,59315,84799
322,59540,87947
323,59806,88237
324,60116,88527
325,60393,88817
326,60685,89107
327,60942,89397
328,61215,89687
329,61481,89977
330,61733,90267
331,61967,90557
332,62167,90847
333,62375,91137
334,62591,91428
335,62802,91472
336,63014,91516
337,63231,91560
338,63432,91604
339,63619,91648
340,63827,91692
341,64030,91737
342,64217,91768
343,64422,91800
344,64633,91832
345,64836,91863
346,65017,91895
347,65189,91927
348,65369,91958
349,65540,91990
350,65698,92022
351,65890,91985
352,66075,91949
353,66284,91913
354,66480,91877
355,66629,91841
356,66821,91805
357,66979,91769
358,67149,91792
359,67312,91816
360,67465,91839
361,67616,91863
362,67750,91886
363,67908,91910
364,68034,91933
365,68158,91957
366,68288,91980
367,68424,92004
368,68546,92027
369,68713,92051
370,68878,92074
371,69017,92098
372,69180,92096
373,69314,92094
374,69444,92092
375,69557,92090
376,69677,92088
377,69817,92086
378,69926,92084
379,70069,92084
380,70178,92084
381,70313,92084
382,70450,92084
383,70554,92084
384,70659,92084
385,70805,92084
386,70931,92084
387,71038,92084
388,71135,92084
389,71227,92084
390,71309,92084
391,71390,92084
392,71501,92084
393,71603,92084
394,71741,92084
395,71835,92084
396,71921,92084
397,72016,92084
398,72133,92084
399,72234,92084
400,72342,92084
401,72434,92084
402,72526,92084
403,72587,92084
404,72665,92084
405,72750,92084
406,72808,92084
407,72898,92218
408,72989,92352
409,73065,92486
410,73134,92620
411,73226,92754
412,73300,92888
413,73404,93022
414,73477,93156
415,73559,93290
416,73627,93424
417,73705,93558
418,73783,93692
419,73835,93826
420,73917,93960
421,73991,94094
422,74056,94228
423,74102,94362
424,74185,94496
425,74261,94630
426,74312,94765
427,74374,94810
428,74440,94855
429,74508,94900
430,74573,94946
431,74623,94991
432,74686,95036
433,74745,95081
434,74796,95127
435,74812,95172
436,74833,95217
437,74886,95262
438,74925,95308
439,74990,95353
440,75058,95398
441,75114,95444
442,75162,95451
443,75205,95459
444,75250,95467
445,75300,95475
446,75356,95483
447,75408,95491
448,75459,95499
449,75512,95506
450,75556,95514
451,75618,95522
452,75656,95530
453,75752,95538
454,75782,95546
455,75831,95554
456,75878,96915
457,75922,98276
458,75951,99637
459,75988,100998
460,76033,102359
461,76074,103720
462,76124,105081
463,76178,106442
464,76215,107803
465,76277,109164
466,76329,110525
467,76361,111886
468,76390,113247
469,76450,114608
470,76497,115969
471,76531,117330
472,76550,118691
473,76594,120052
474,76634,121413
475,76672,122774
476,76724,124135
477,76773,125496
478,76821,126857
479,76865,128218
480,76937,129579
481,76955,130940
482,76961,132301
483,76997,133662
484,77022,135023
485,77030,136384
486,77062,137745
487,77108,139106
488,77171,140467
489,77266,141828
490,77417,143189
491,77643,144550
492,77891,145911
493,78133,147272
494,78445,148633
495,78723,149994
496,79080,151355
497,79490,152717
498,79889,152802
499,80386,152888
500,80835,152974
501,81237,153060
502,81673,153146
503,82065,153231
504,82460,153317
505,82857,153403
506,83259,153489
507,83614,153575
508,84000,153660
509,84349,153746
510,84652,153832
511,84987,153918
512,85322,154004
513,85665,154089
514,86010,154175
515,86356,154261
516,86699,154347
517,87011,154433
518,87325,154519
519,87632,154555
520,87970,154592
521,88276,154628
522,88594,154665
523,88872,154701
524,89188,154738
525,89506,154775
526,89758,154811
527,90037,154848
528,90330,154884
529,90592,154921
530,90840,154957
531,91062,154994
532,91305,155031
533,91579,155067
534,91842,155104
535,92098,155140
536,92352,155177
537,92625,155213
538,92831,155250
539,93016,155287
540,93264,155323
541,93464,155360
542,93648,155396
543,93869,155433
544,94084,155469
545,94272,155506
546,94495,155543
547,94686,155851
548,94918,156160
549,95125,156468
550,95293,156777
551,95476,157085
552,95676,157394
553,95851,157702
554,96054,158011
555,96259,158319
556,96429,158628
