Time,Belom,
0,0,0
1,0,1408
2,0,2816
3,0,4225
4,2,5633
5,8,7042
6,21,8450
7,43,9858
8,62,11267
9,90,12675
10,133,14084
11,194,15492
12,256,16900
13,324,18309
14,400,19717
15,500,21126
16,586,22534
17,685,23943
18,798,23957
19,912,23971
20,1030,23985
21,1166,23999
22,1321,24013
23,1489,24027
24,1660,24041
25,1832,24055
26,2032,24069
27,2256,24083
28,2485,24097
29,2717,24111
30,2955,24125
31,3218,24139
32,3569,24153
33,3911,24167
34,4251,24181
35,4619,24195
36,4935,24209
37,5278,24223
38,5626,24237
39,5989,24251
40,6337,24265
41,6677,24279
42,7052,24293
43,7396,24307
44,7752,24321
45,8105,24335
46,8479,24349
47,8850,24363
48,9189,24377
49,9583,24391
50,9954,24405
51,10338,24419
52,10662,24433
53,10990,24447
54,11322,24461
55,11644,24475
56,11997,24489
57,12350,24503
58,12651,24517
59,12974,24531
60,13298,24545
61,13638,24559
62,13947,24573
63,14275,24587
64,14641,24601
65,14972,24615
66,15265,24629
67,15569,24643
68,15877,24657
69,16160,24671
70,16467,24685
71,16752,24699
72,17017,24713
73,17276,24727
74,17590,24741
75,17844,24755
76,18117,24769
77,18346,24783
78,18600,24797
79,18880,24811
80,19139,24825
81,19228,24839
82,19203,24853
83,19180,24867
84,19186,24881
85,19180,24895
86,19181,24909
87,19178,24923
88,19186,24937
89,19186,24952
90,19177,24962
91,19189,24973
92,19178,24984
93,19185,24994
94,19186,25005
95,19174,25016
96,19201,25027
97,19186,25037
98,19173,25048
99,19196,25059
100,19176,25070
101,19190,25080
102,19174,25091
103,19193,25102
104,19179,25113
105,19181,25123
106,19183,25134
107,19182,25145
108,19183,25156
109,19181,25166
110,19188,25177
111,19174,25188
112,19194,25199
113,19179,25209
114,19186,25220
115,19176,25231
116,19184,25242
117,19182,25252
118,19184,25263
119,19178,25274
120,19188,25285
121,19172,25358
122,19195,25431
123,19175,25504
124,19190,25577
125,19174,25650
126,19189,25724
127,19175,25797
128,19192,25870
129,19178,25943
130,19181,26016
131,19181,26090
132,19184,25896
133,19177,25702
134,19180,25508
135,19184,25315
136,19177,25344
137,19187,25374
138,19181,25404
139,19188,25434
140,19176,25464
141,19191,25493
142,19184,25523
143,19180,25553
144,19177,25583
145,19182,25613
146,19184,25642
147,19182,25672
148,19181,25702
149,19182,25732
150,19178,25762
151,19194,25791
152,19172,25821
153,19201,25851
154,19179,25881
155,19187,25911
156,19176,25940
157,19189,25970
158,19172,26000
159,19186,26030
160,19182,26060
161,19179,26090
162,19186,26104
163,19177,26119
164,19190,26133
165,19173,26148
166,19189,26162
167,19177,26177
168,19184,26192
169,19180,26206
170,19186,26221
171,19175,26235
172,19187,26250
173,19182,26264
