Time,Dosseye,
0,0,0
1,0,919
2,0,1838
3,17,2758
4,54,3677
5,140,4597
6,244,5516
7,384,6435
8,538,7355
9,720,8274
10,886,9194
11,1064,10113
12,1231,11032
13,1415,11952
14,1609,12871
15,1800,13791
16,1985,14710
17,2182,15630
18,2409,15659
19,2684,15689
20,3006,15719
21,3383,15748
22,3763,15778
23,4146,15808
24,4569,15837
25,4982,15867
26,5384,15897
27,5786,15926
28,6208,15956
29,6622,15986
30,6999,16015
31,7383,16045
32,8026,16075
33,8702,16104
34,9335,16134
35,9881,16164
36,10452,16193
37,11031,16223
38,11514,16253
39,11960,16282
40,12402,16312
41,12449,16342
42,12449,16372
43,12449,16401
44,12449,16431
45,12449,16461
46,12449,16490
47,12449,16520
48,12449,16550
49,12449,16579
50,12449,16609
51,12449,16639
52,12449,16668
53,12449,16698
54,12449,16728
55,12449,16757
56,12449,16787
57,12449,16817
58,12449,16846
59,12449,16876
60,12449,16906
61,12449,16935
62,12449,16965
63,12449,16995
64,12449,17024
65,12449,17054
66,12449,17084
67,12449,17114
68,12449,17143
69,12449,17173
70,12449,17203
71,12449,17232
72,12449,17262
73,12449,17292
74,12449,17321
75,12449,17351
76,12449,17381
77,12449,17410
78,12449,17440
79,12449,17470
80,12449,17499
81,12449,17529
82,12449,17559
83,12449,17588
84,12449,17618
85,12449,17648
86,12449,17677
87,12449,17707
88,12449,17737
89,12449,17767
90,12449,17798
91,12449,17830
92,12449,17861
93,12449,17893
94,12449,17924
95,12449,17956
96,12449,17987
97,12449,18019
98,12449,18050
99,12449,18082
100,12449,18114
101,12449,18145
102,12449,18177
103,12449,18208
104,12449,18240
105,12449,18271
106,12449,18303
107,12449,18334
108,12449,18366
109,12449,18397
110,12449,18429
111,12449,18461
112,12449,18492
113,12449,18524
114,12449,18555
115,12449,18587
116,12449,18618
117,12449,18650
118,12449,18681
119,12449,18713
120,12449,18745
121,12449,18842
122,12449,18940
123,12449,19037
124,12449,19135
125,12449,19233
126,12449,19330
127,12449,19428
128,12449,19526
129,12449,19623
130,12449,19721
131,12449,19819
132,12449,19644
133,12449,19469
134,12449,19294
135,12449,19120
136,12449,19158
137,12449,19197
138,12449,19236
139,12449,19275
140,12449,19314
141,12449,19353
142,12449,19392
143,12449,19430
144,12449,19469
145,12449,19508
146,12449,19547
147,12449,19586
148,12449,19625
149,12449,19664
150,12449,19676
151,12449,19689
152,12449,19702
153,12449,19715
154,12449,19728
155,12449,19741
156,12449,19754
157,12449,19767
158,12449,19780
159,12449,19793
160,12449,19806
161,12449,19819
162,12449,19826
163,12449,19833
164,12449,19840
165,12449,19847
166,12449,19854
167,12449,19861
168,12449,19869
169,12449,19870
170,12449,19871
171,12449,19872
172,12449,19873
173,12449,19874
174,12449,19875
175,12449,19877
176,12449,19934
177,12449,19991
178,12449,20049
179,12449,20106
180,12449,20163
181,12449,20221
182,12449,20278
183,12449,20335
184,12449,20393
185,12449,20450
186,12449,20507
187,12449,20565
188,12449,20622
189,12449,20680
190,12449,20680
191,12449,20680
192,12449,20680
193,12449,20681
194,12449,20681
195,12449,20681
196,12449,20682
197,12449,20690
198,12449,20699
199,12449,20708
200,12449,20717
201,12449,20726
202,12449,20735
203,12449,20744
204,12449,20769
205,12449,20794
206,12449,20819
207,12449,20844
208,12449,20869
209,12449,20894
210,12449,20919
211,12449,20944
212,12449,20969
213,12449,20994
214,12449,21019
215,12449,21044
216,12449,21069
217,12449,21094
218,12449,21119
219,12449,21144
220,12449,21169
221,12449,21194
222,12449,21219
223,12449,21244
224,12449,21269
225,12449,21307
226,12449,21345
227,12449,21384
228,12449,21422
229,12449,21460
230,12449,21499
231,12449,21537
232,12449,21575
233,12449,21614
234,12449,21652
235,12449,21690
236,12449,21729
237,12449,21767
238,12449,21806
239,12449,21820
240,12449,21835
241,12449,21850
242,12449,21865
243,12449,21880
244,12449,21895
245,12449,21910
246,12449,21925
247,12449,21940
248,12449,21955
249,12449,21970
250,12449,21985
251,12449,22000
252,12449,22015
253,12449,22029
254,12449,22044
255,12449,22059
256,12449,22074
257,12449,22089
258,12449,22104
259,12449,22119
260,12449,22134
261,12449,22149
262,12449,22164
263,12449,22179
264,12449,22194
265,12449,22209
266,12449,22224
267,12449,22239
268,12449,22255
269,12449,22270
270,12449,22286
