Time,Dosseye,
0,0,0
1,0,919
2,0,1838
3,9,2758
4,34,3677
5,86,4597
6,156,5516
7,230,6435
8,319,7355
9,424,8274
10,515,9194
11,635,10113
12,733,11032
13,855,11952
14,972,12871
15,1094,13791
16,1220,14710
17,1347,15630
18,1513,15659
19,1738,15689
20,1996,15719
21,2291,15748
22,2595,15778
23,2941,15808
24,3279,15837
25,3647,15867
26,4022,15897
27,4371,15926
28,4763,15956
29,5100,15986
30,5440,16015
31,5797,16045
32,6353,16075
33,6918,16104
34,7455,16134
35,7996,16164
36,8503,16193
37,9007,16223
38,9426,16253
39,9824,16282
40,10238,16312
41,10593,16342
42,10946,16372
43,11246,16401
44,11545,16431
45,11885,16461
46,12199,16490
47,12497,16520
48,12758,16550
49,12997,16579
50,13249,16609
51,13473,16639
52,13712,16668
53,13906,16698
54,14139,16728
55,14361,16757
56,14566,16787
57,14792,16817
58,14996,16846
59,15218,16876
60,15420,16906
61,15638,16935
62,15822,16965
63,16018,16995
64,16177,17024
65,16365,17054
66,16556,17084
67,16727,17114
68,16891,17143
69,17061,17173
70,17228,17203
71,17404,17232
72,17516,17262
73,17661,17292
74,17803,17321
75,17931,17351
76,18106,17381
77,18224,17410
78,18354,17440
79,18485,17470
80,18614,17499
81,18761,17529
82,18885,17559
83,18999,17588
84,19134,17618
85,19291,17648
86,19425,17677
87,19556,17707
88,19685,17737
89,19834,17767
90,19959,17798
91,20094,17830
92,20206,17861
93,20327,17893
94,20450,17924
95,20585,17956
96,20735,17987
97,20869,18019
98,20994,18050
99,21089,18082
100,21214,18114
101,21336,18145
102,21475,18177
103,21596,18208
104,21730,18240
105,21844,18271
106,21987,18303
107,22126,18334
108,22219,18366
109,22409,18397
110,22608,18429
111,22797,18461
112,22925,18492
113,22925,18524
114,22925,18555
115,22925,18587
116,22925,18618
117,22925,18650
118,22925,18681
119,22925,18713
120,22925,18745
121,22925,18842
122,22925,18940
123,22925,19037
124,22925,19135
125,22925,19233
126,22925,19330
127,22925,19428
128,22925,19526
129,22925,19623
130,22925,19721
131,22925,19819
132,22925,19644
133,22925,19469
134,22925,19294
135,22925,19120
136,22925,19158
137,22925,19197
138,22925,19236
139,22925,19275
140,22925,19314
141,22925,19353
142,22925,19392
143,22925,19430
144,22925,19469
145,22925,19508
146,22925,19547
147,22925,19586
148,22925,19625
149,22925,19664
150,22925,19676
151,22925,19689
152,22925,19702
153,22925,19715
154,22925,19728
155,22925,19741
156,22925,19754
157,22925,19767
158,22925,19780
159,22925,19793
160,22925,19806
161,22925,19819
162,22925,19826
163,22925,19833
164,22925,19840
165,22925,19847
166,22925,19854
167,22925,19861
168,22925,19869
169,22925,19870
170,22925,19871
171,22925,19872
172,22925,19873
173,22925,19874
174,22925,19875
175,22925,19877
176,22925,19934
177,22925,19991
178,22925,20049
179,22925,20106
180,22925,20163
181,22925,20221
182,22925,20278
183,22925,20335
184,22925,20393
185,22925,20450
186,22925,20507
187,22925,20565
188,22925,20622
189,22925,20680
190,22925,20680
191,22925,20680
192,22925,20680
193,22925,20681
194,22925,20681
195,22925,20681
196,22925,20682
197,22925,20690
198,22925,20699
199,22925,20708
200,22925,20717
201,22925,20726
202,22925,20735
203,22925,20744
204,22925,20769
205,22925,20794
206,22925,20819
207,22925,20844
208,22925,20869
209,22925,20894
210,22925,20919
211,22925,20944
212,22925,20969
213,22925,20994
214,22925,21019
215,22925,21044
216,22925,21069
217,22925,21094
218,22925,21119
219,22925,21144
220,22925,21169
221,22925,21194
222,22925,21219
223,22925,21244
224,22925,21269
225,22925,21307
226,22925,21345
227,22925,21384
228,22925,21422
229,22925,21460
230,22925,21499
231,22925,21537
232,22925,21575
233,22925,21614
234,22925,21652
235,22925,21690
236,22925,21729
237,22925,21767
238,22925,21806
239,22925,21820
240,22925,21835
241,22925,21850
242,22925,21865
243,22925,21880
244,22925,21895
245,22925,21910
246,22925,21925
247,22925,21940
248,22925,21955
249,22925,21970
250,22925,21985
251,22925,22000
252,22925,22015
253,22925,22029
254,22925,22044
255,22925,22059
256,22925,22074
257,22925,22089
258,22925,22104
259,22925,22119
260,22925,22134
261,22925,22149
262,22925,22164
263,22925,22179
264,22925,22194
265,22925,22209
266,22925,22224
267,22925,22239
268,22925,22255
269,22925,22270
270,22925,22286
271,22925,22301
