DateTime,Réfugiés maliens
2012-02-29,0
2012-03-07,10864
2012-03-28,44916
2012-04-01,46008
2012-04-15,54341
2012-05-03,62732
2012-06-03,67164
2012-06-24,74095
2012-07-15,91604
2012-07-17,91604
2012-07-29,96484
2012-08-02,96484
2012-08-05,98467
2012-08-12,101904
2012-08-19,103731
2012-12-31,54028
2013-01-28,63170
2013-01-29,63170
2013-01-31,64457
2013-02-06,68335
2013-02-07,68336
2013-02-13,68385
2013-03-10,75019
2013-03-31,75882
2013-04-07,74148
2013-04-29,74024
2013-05-05,74108
2013-05-31,75495
2013-06-23,74373
2013-06-30,75261
2013-08-31,69676
2013-10-08,68016
2013-10-31,67562
2013-11-16,67200
2013-11-30,66198
2013-12-27,66416
2013-12-31,66392
2014-03-15,59101
2014-04-15,57406
2014-05-15,52647
2014-05-31,52847
2014-06-15,53263
2014-07-15,53769
2014-07-31,53969
2014-08-31,54777
2014-09-15,55183
2014-09-30,55255
2014-10-15,55252
2014-10-30,55321
2014-10-31,55321
2014-11-15,55380
2014-11-30,55414
2015-01-20,52430
2015-02-15,52224
2015-02-28,52402
2015-03-31,52566
2015-04-30,52355
2015-05-31,49478
2015-06-30,49811
2015-07-31,49911
2015-08-31,50102
2015-09-30,50266
2015-10-31,50131
2015-11-30,50456
2015-12-31,50228
