Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
0,1446,0.0,0.0,0,0.0,0.0,0,0.0,0.0,698,698.623001131,0.000891755824909,875,875.309917355,0.000354065856249,0,0.0,0.0,0,0.0,0.0,0.07472669103372645,1573,19363,19363,1.8064918851435705,3019,0,0.0014460569126684914
1,2793,808,2.45668316832,0,0,0.0,0,0,0.0,698,691,0.0101302460203,875,874,0.00114416475973,0,0,0.0,0,0,0.0,0.10297612896558851,2373,19363,19354,3.4875,4366,9,0.002738451999586649
2,3949,1616,1.44368811881,0,0,0.0,0,0,0.0,698,684,0.0204678362573,875,874,0.00114416475973,0,0,0.0,0,0,0.0,0.12136248513981496,3174,19363,19347,4.931335830212235,5522,16,0.0038248824107096706
3,5013,2425,1.06721649485,0,0,0.0,0,0,0.0,698,677,0.0310192023634,875,874,0.00114416475973,0,0,0.0,0,0,0.0,0.13494648673801768,3976,19363,19341,6.260923845193508,6586,22,0.004911845302724782
4,5989,3233,0.852459016393,0,0,0.0,0,0,0.0,698,670,0.0417910447761,875,873,0.00229095074456,0,0,0.0,0,0,0.0,0.1441133871301469,4776,19363,19332,7.458233890214797,7562,31,0.005793503000206911
5,6942,4041,0.717891610987,0,0,0.0,0,0,0.0,698,663,0.052790346908,875,873,0.00229095074456,0,0,0.0,0,0,0.0,0.15203104786545926,5577,19363,19325,8.59688995215311,8515,38,0.006727037516170763
6,7825,4850,0.613402061856,0,0,0.0,0,0,0.0,698,655,0.0656488549618,875,872,0.00344036697248,0,0,0.0,0,0,0.0,0.15639074390433297,6377,19363,19317,9.651551312649165,9398,46,0.0075063415644251175
7,8629,5658,0.525097207494,0,0,0.0,0,0,0.0,698,648,0.0771604938272,875,872,0.00344036697248,0,0,0.0,0,0,0.0,0.15660279647850855,7178,19363,19310,10.61244019138756,10202,53,0.008285862247540134
8,9333,6503,0.435183761341,0,0,0.0,0,0,0.0,698,641,0.0889235569423,875,872,0.00344036697248,0,0,0.0,0,0,0.0,0.15101635575064012,8016,19363,19137,11.45346062052506,10906,226,0.00898782463291007
9,10038,7347,0.366271947734,0,0,0.0,0,0,0.0,698,634,0.10094637224,875,871,0.00459242250287,0,0,0.0,0,0,0.0,0.14550152937453856,8852,19363,18962,12.29510155316607,11611,401,0.009703617761839468
